posNr;kurztext;einheit;menge;ep;gp;source;riskLevel;calculationStatus;reasons;warning
130;HDPE - Rohre 180 x 16,4 mm;m;6150.0;29.15;179272.5;technical-parser-blocked-by-family-mismatch-recalculated+no-x84-family-guard+no-x84-family-guard;medium;warning;STATUS_warning | BLOCKED | NO_X84_GUARD | TOP_AMOUNT | WARNING;"Technische RLC-Komponentenkalkulation verwendet. Firmenpreise und Baustellenbedingungen prüfen. · RLC Technical Parser priorisiert vor Cache, Rule-Engine und OpenAI. · RLC Family-Mismatch-Guard: Firmenkalibrierung blockiert. LV-Familie ""rohrgraben"" passt nicht zur Kalibrierungsbasis ""auffuellung"". · RLC Block+Recalculate: technical-parser Ergebnis blockiert; kein belastbarer Alternativ-EP gefunden. · RLC No-X84 Autonomous Family Guard aktiv: HDPE Rohr 180 m V14 plausibilisiert. Keine X84-/Angebo"
027;Erschwernis Trasse innerhalb von Steigen;Psch;1.0;153300.0;153300.0;rule-engine+no-x84-family-guard+no-x84-family-guard;medium;warning;STATUS_warning | NO_X84_GUARD | TOP_AMOUNT | WARNING;"Nur Regel-Engine-Fallback verwendet · Kontextabhängige Position: Preis hängt stark von Bauzeit, Verkehrsführung, Platzverhältnissen, Auflagen und Bauablauf ab. Historische Preise nur als Orientierung verwenden. · RLC No-X84 Autonomous Family Guard aktiv: Erschwernis Trasse innerhalb von Steigen Psch V17 plausibilisiert. Keine X84-/Angebotsbasis verwendet; Position bleibt prüfpflichtig. · RLC V33: Erschwernis Trasse in Steigen als komplexe Pauschale plausibilisiert. · RLC Marktindex V15: Preisbas"
051;Zuschlag Rohrgrabenaushub Bd-Kl. 6;m3;6000.0;25.0;150000.0;technical-parser-rohrgrabenaushub-cleaned;high;needs_review;HIGH_RISK | STATUS_needs_review | SOURCE_CLEANUP | TOP_AMOUNT | WARNING;"Technische RLC-Komponentenkalkulation verwendet. Firmenpreise und Baustellenbedingungen prüfen. · RLC No-X84 Outlier-Guard: Position ohne X84/Angebotsbasis darf nicht automatisch als sicher bewertet werden. · RLC No-X84 Preisguard: Zuschlag Rohrgrabenaushub Bodenklasse 6; EP von 51.71 auf 25.00 €/Einheit plausibilisiert. Ohne X84 bleibt Position prüfpflichtig. · Menge 6000 m3, EP 25, GP 150000. · RLC Source-Cleanup: Rohrgrabenaushub/Zuschlag wurde als technische Aushubposition erkannt. Source wu"
001;Baustelleneinrichtung herstellen, vorhalten und betreiben;Psch;1.0;132000.0;132000.0;rule-engine+no-x84-family-guard+no-x84-family-guard;medium;warning;STATUS_warning | NO_X84_GUARD | TOP_AMOUNT | WARNING;Nur Regel-Engine-Fallback verwendet · Kontextabhängige Position: Verkehrssicherung/RSA/Umleitung/Beschilderung hängt stark von Bauzeit, Verkehrsführung, verkehrsrechtlicher Anordnung, Beschilderung, Absperrmaterial, Lichtsignalanlage, täglicher Kontrolle, Wartung, Anpassung, Anwohnerverkehr, Aufbau, Vorhaltung und Rückbau ab. Historische Preise nur als Orientierung verwenden. · RLC No-X84 Autonomous Family Guard aktiv: Große Baustelleneinrichtung Herstellen/Vorhalten/Betreiben Psch V12 plausibil
056;Frostsicheres Kiesmaterial;m3;2000.0;60.6;121200.0;recipe+no-x84-family-guard+no-x84-family-guard;medium;warning;STATUS_warning | NO_X84_GUARD | TOP_AMOUNT | WARNING;"Direkte technische RLC-Rezeptlogik verwendet. Firmenpreise und Baustellenbedingungen prüfen. · RLC No-X84 Autonomous Family Guard aktiv: Frostschutz/Frostsicheres Material m³ V16 plausibilisiert. Keine X84-/Angebotsbasis verwendet; Position bleibt prüfpflichtig. · RLC Autonomous Guard V10: Frostsicheres Kiesmaterial als m³-Material inkl. Einbau plausibilisiert. · RLC Marktindex V15: Preisbasis 2024 auf aktuelle Kalkulation marktbedingt fortgeschrieben. · Alter EP 60.6 wurde auf 49.14 €/m3 kalibr"
353;Mikrokabelleerrohrverbund;m;6500.0;18.0;117000.0;rlc-family-fallback-kabelschutzrohr-recalculated;high;needs_review;HIGH_RISK | STATUS_needs_review | FALLBACK | TOP_AMOUNT | WARNING;"Universeller RLC-Preisresolver verwendet. Kein spezifisches Rezept gefunden; Firmenpreise und Baustellenbedingungen prüfen. · RLC No-X84 Autonomous Family Guard aktiv: Mikrokabelleerrohrverbund m V12 plausibilisiert. Keine X84-/Angebotsbasis verwendet; Position bleibt prüfpflichtig. · RLC Family-Fallback-Recalculate: Kabelschutzrohr DN/Schutzrohr als Meterleistung: Mindestansatz 18 €/m prüfpflichtig gesetzt. Alter EP 4.37 €/Einheit wurde nicht als sicher übernommen. · RLC Mengen-/Positionsduplik"
403;Mikrokabelleerrohrverbund;m;6500.0;18.0;117000.0;rlc-family-fallback-kabelschutzrohr-recalculated;high;needs_review;HIGH_RISK | STATUS_needs_review | FALLBACK | TOP_AMOUNT | WARNING;"Universeller RLC-Preisresolver verwendet. Kein spezifisches Rezept gefunden; Firmenpreise und Baustellenbedingungen prüfen. · RLC No-X84 Autonomous Family Guard aktiv: Mikrokabelleerrohrverbund m V12 plausibilisiert. Keine X84-/Angebotsbasis verwendet; Position bleibt prüfpflichtig. · RLC Family-Fallback-Recalculate: Kabelschutzrohr DN/Schutzrohr als Meterleistung: Mindestansatz 18 €/m prüfpflichtig gesetzt. Alter EP 4.37 €/Einheit wurde nicht als sicher übernommen."
132;Splittüberdeckung PEDH 180 x 16,4;m;6150.0;16.9;103935.0;rule-engine+no-x84-family-guard+no-x84-family-guard;medium;warning;STATUS_warning | NO_X84_GUARD | TOP_AMOUNT | WARNING;"Nur Regel-Engine-Fallback verwendet · Kontextabhängige Position: Preis muss aus Projektparametern urkalkuliert werden. Datenbankpreis nur als historischer Vergleich. · RLC No-X84 Autonomous Family Guard aktiv: Splittüberdeckung m V13 plausibilisiert. Keine X84-/Angebotsbasis verwendet; Position bleibt prüfpflichtig. · Global Knowledge Vergleich: 41–41 €/m, Ø 41 €/m, Confidence 0.45. Nur Vergleichswert, kein finaler Kalkulationspreis. · RLC No-X84 Unit-Normalisierung: technischer St-/Pauschalansa"
280;Duktile Gussrohre DN 80;m;800.0;122.0;97600.0;rule-engine+no-x84-family-guard+no-x84-family-guard;medium;warning;STATUS_warning | NO_X84_GUARD | WARNING;Nur Regel-Engine-Fallback verwendet · Kontextabhängige Position: Behörden/Genehmigungen/Auflagen/Sicherheit hängt stark von Laufzeit, Auflagen, Terminen, Fachstellen, verkehrsrechtlicher Anordnung, SiGeKo, Kampfmittel, Denkmalpflege, Freigaben und Dokumentationspflichten ab. Historische Preise nur als Orientierung verwenden. · Plausibilitätsgrenze aktiv: KI-EP 26.2 EUR liegt unter Mindestansatz 35 EUR. · RLC No-X84 Autonomous Family Guard aktiv: Duktile Gussrohre m V10 plausibilisiert. Keine X84
231;Pilotbohrung DA 180;m;290.0;291.0;84390.0;rule-engine+no-x84-family-guard+no-x84-family-guard;medium;warning;STATUS_warning | NO_X84_GUARD | WARNING;"Nur Regel-Engine-Fallback verwendet · Erhöhtes Kalkulationsrisiko · Bodenklasse muss geprüft werden · Entsorgung/Deponieklasse prüfen · Kontextabhängige Position: Preis muss aus Projektparametern urkalkuliert werden. Datenbankpreis nur als historischer Vergleich. · RLC No-X84 Autonomous Family Guard aktiv: Pilotbohrung DA180 m V10 plausibilisiert. Keine X84-/Angebotsbasis verwendet; Position bleibt prüfpflichtig. · RLC V33: Pilotbohrung DA 180 vorsichtig angehoben, ohne HDD-Gruppe breit zu übers"
226;Erschwernis Alter Kührointer Weg;Psch;1.0;77500.0;77500.0;rule-engine+no-x84-family-guard+no-x84-family-guard;medium;warning;STATUS_warning | NO_X84_GUARD | WARNING;"Nur Regel-Engine-Fallback verwendet · Kontextabhängige Position: Behörden/Genehmigungen/Auflagen/Sicherheit hängt stark von Laufzeit, Auflagen, Terminen, Fachstellen, verkehrsrechtlicher Anordnung, SiGeKo, Kampfmittel, Denkmalpflege, Freigaben und Dokumentationspflichten ab. Historische Preise nur als Orientierung verwenden. · RLC No-X84 Autonomous Family Guard aktiv: Erschwernis Alter Kührointer Weg Psch plausibilisiert. Keine X84-/Angebotsbasis verwendet; Position bleibt prüfpflichtig. · RLC N"
244;"Schutzmatte für PE DN50; DA90";lfm;2600.0;29.6;76960.0;recipe+no-x84-family-guard+no-x84-family-guard;medium;warning;STATUS_warning | NO_X84_GUARD | WARNING;"Universeller RLC-Preisresolver verwendet. Kein spezifisches Rezept gefunden; Firmenpreise und Baustellenbedingungen prüfen. · RLC No-X84 Autonomous Family Guard aktiv: Schutzmatte PE DN50 lfm V16 plausibilisiert. Keine X84-/Angebotsbasis verwendet; Position bleibt prüfpflichtig. · RLC Autonomous Guard V11: Schutzmatte/Rohrschutz vorrangig als Meterleistung kalibriert. · RLC Marktindex V15: Preisbasis 2024 auf aktuelle Kalkulation marktbedingt fortgeschrieben. · Alter EP 29.6 wurde auf 25.74 €/lf"
131;Sohlbettung Riesel,  PEHD 180*16,4;m;6150.0;12.25;75337.5;rule-engine+no-x84-family-guard+no-x84-family-guard;medium;warning;STATUS_warning | NO_X84_GUARD | WARNING;"Nur Regel-Engine-Fallback verwendet · Kontextabhängige Position: Preis muss aus Projektparametern urkalkuliert werden. Datenbankpreis nur als historischer Vergleich. · RLC No-X84 Autonomous Family Guard aktiv: Sohlbettung Riesel m V14 plausibilisiert. Keine X84-/Angebotsbasis verwendet; Position bleibt prüfpflichtig. · RLC Autonomous Guard V10: Bettung/Überdeckung/Rohrumhüllung als Meteransatz kalibriert. · RLC Marktindex V15: Preisbasis 2024 auf aktuelle Kalkulation marktbedingt fortgeschrieben"
256;"Schutzmatte für PE DN50; DA63";lfm;2500.0;29.6;74000.0;recipe+no-x84-family-guard+no-x84-family-guard;medium;warning;STATUS_warning | NO_X84_GUARD | WARNING;"Universeller RLC-Preisresolver verwendet. Kein spezifisches Rezept gefunden; Firmenpreise und Baustellenbedingungen prüfen. · RLC No-X84 Autonomous Family Guard aktiv: Schutzmatte PE DN50 lfm V16 plausibilisiert. Keine X84-/Angebotsbasis verwendet; Position bleibt prüfpflichtig. · RLC Autonomous Guard V11: Schutzmatte/Rohrschutz vorrangig als Meterleistung kalibriert. · RLC Marktindex V15: Preisbasis 2024 auf aktuelle Kalkulation marktbedingt fortgeschrieben. · Alter EP 29.6 wurde auf 25.74 €/lf"
265;"Schutzmatte für PE DN75; DA 90";lfm;2500.0;29.6;74000.0;recipe+no-x84-family-guard+no-x84-family-guard;medium;warning;STATUS_warning | NO_X84_GUARD | WARNING;"Universeller RLC-Preisresolver verwendet. Kein spezifisches Rezept gefunden; Firmenpreise und Baustellenbedingungen prüfen. · RLC No-X84 Autonomous Family Guard aktiv: Schutzmatte PE DN75 lfm V17 plausibilisiert. Keine X84-/Angebotsbasis verwendet; Position bleibt prüfpflichtig. · RLC Autonomous Guard V11: Schutzmatte/Rohrschutz vorrangig als Meterleistung kalibriert. · RLC Marktindex V15: Preisbasis 2024 auf aktuelle Kalkulation marktbedingt fortgeschrieben. · Alter EP 29.6 wurde auf 25.74 €/lf"
240;PE 100 PE-Trinkwasserdruckrohr DN 50;m;2600.0;28.43;73918.0;database;low;ok;WARNING;Firmen-Datenbank Exact/Strong Match verwendet. X84 wurde nicht als Kalkulationsgrundlage benutzt. · Global Knowledge Vergleich: 28.43–28.43 €/m, Ø 28.43 €/m, Confidence 0.44. Nur Vergleichswert, kein finaler Kalkulationspreis.
361;LWL Miko-Kabel 12 Fasern;m;6500.0;10.0;65000.0;rlc-family-fallback-lwl-mikrorohr-recalculated;high;needs_review;HIGH_RISK | STATUS_needs_review | FALLBACK | WARNING;"Nur Regel-Engine-Fallback verwendet · Kontextabhängige Position: Spezialtiefbau/schwierige Bauverfahren hängt stark von Bauverfahren, Baugrund, Verbau, Wasserhaltung, Spezialgeräten, Vortrieb, Pressung, Platzverhältnissen, Risiken, Dokumentation und Rückbau ab. Historische Preise nur als Orientierung verwenden. · RLC No-X84 Autonomous Family Guard aktiv: LWL Mikro-Kabel m V16 plausibilisiert. Keine X84-/Angebotsbasis verwendet; Position bleibt prüfpflichtig. · RLC Family-Fallback-Recalculate: LW"
384;LWL Miko-Kabel 12 Fasern;m;6500.0;10.0;65000.0;rlc-family-fallback-lwl-mikrorohr-recalculated;high;needs_review;HIGH_RISK | STATUS_needs_review | FALLBACK | WARNING;"Nur Regel-Engine-Fallback verwendet · Kontextabhängige Position: Spezialtiefbau/schwierige Bauverfahren hängt stark von Bauverfahren, Baugrund, Verbau, Wasserhaltung, Spezialgeräten, Vortrieb, Pressung, Platzverhältnissen, Risiken, Dokumentation und Rückbau ab. Historische Preise nur als Orientierung verwenden. · RLC No-X84 Autonomous Family Guard aktiv: LWL Mikro-Kabel m V16 plausibilisiert. Keine X84-/Angebotsbasis verwendet; Position bleibt prüfpflichtig. · RLC Family-Fallback-Recalculate: LW"
054;Zulage für gesondertes Haufwerk;lfm;5000.0;12.5;62500.0;rule-engine;high;needs_review;HIGH_RISK | STATUS_needs_review | WARNING;"Nur Regel-Engine-Fallback verwendet · Kontextabhängige Position: Preis muss aus Projektparametern urkalkuliert werden. Datenbankpreis nur als historischer Vergleich. · RLC No-X84 Unit-Normalisierung: technischer St-/Pauschalansatz wurde nicht als EP der LV-Einheit übernommen. · Zulage Haufwerk wurde als Meter-Zulage normalisiert; technischer Parserwert war zu hoch. · Alter EP 103.28 wurde auf 12.5 €/lfm normalisiert."
426;Rohrumhüllung Sand;lfm;6500.0;9.4;61100.0;rule-engine+no-x84-family-guard+no-x84-family-guard;high;needs_review;HIGH_RISK | STATUS_needs_review | NO_X84_GUARD | WARNING;"Nur Regel-Engine-Fallback verwendet · Kontextabhängige Position: Preis muss aus Projektparametern urkalkuliert werden. Datenbankpreis nur als historischer Vergleich. · RLC No-X84 Autonomous Family Guard aktiv: Rohrumhüllung Sand lfm V13 plausibilisiert. Keine X84-/Angebotsbasis verwendet; Position bleibt prüfpflichtig. · RLC Autonomous Guard V10: Bettung/Überdeckung/Rohrumhüllung als Meteransatz kalibriert. · RLC Marktindex V15: Preisbasis 2024 auf aktuelle Kalkulation marktbedingt fortgeschrieb"
425;Verlegung Mittelspannungskabel;lfm;6500.0;9.36;60840.0;technical-parser;high;needs_review;HIGH_RISK | STATUS_needs_review | WARNING;"Technische RLC-Komponentenkalkulation verwendet. Firmenpreise und Baustellenbedingungen prüfen. · RLC No-X84 Outlier-Guard: Position ohne X84/Angebotsbasis darf nicht automatisch als sicher bewertet werden. · RLC No-X84 Preisguard: Kabelverlegung ohne Tiefbau-Komplettpaket; EP von 51.71 auf 32.00 €/Einheit plausibilisiert. Ohne X84 bleibt Position prüfpflichtig. · Menge 6500 lfm, EP 32, GP 208000. · RLC Autonomous Guard V12: Mittelspannungskabel-Verlegung als Meterleistung plausibilisiert. · RLC"
184;Revisionsschacht Beton Zu- und Ablauf HDPE DA 180;Stk;20.0;2800.0;56000.0;rule-engine+no-x84-family-guard+no-x84-family-guard;medium;warning;STATUS_warning | NO_X84_GUARD | WARNING;Nur Regel-Engine-Fallback verwendet · Erhöhtes Kalkulationsrisiko · Bestandsanschluss technisch prüfen · Kontextabhängige Position: Behörden/Genehmigungen/Auflagen/Sicherheit hängt stark von Laufzeit, Auflagen, Terminen, Fachstellen, verkehrsrechtlicher Anordnung, SiGeKo, Kampfmittel, Denkmalpflege, Freigaben und Dokumentationspflichten ab. Historische Preise nur als Orientierung verwenden. · RLC No-X84 Autonomous Family Guard aktiv: Revisionsschacht Zu-/Ablauf St V12 plausibilisiert. Keine X84-
185;Revisionsschacht PE Zu- und Ablauf HDPE DA 180;Stk;20.0;2800.0;56000.0;rule-engine+no-x84-family-guard+no-x84-family-guard;medium;warning;STATUS_warning | NO_X84_GUARD | WARNING;Nur Regel-Engine-Fallback verwendet · Erhöhtes Kalkulationsrisiko · Bestandsanschluss technisch prüfen · Kontextabhängige Position: Behörden/Genehmigungen/Auflagen/Sicherheit hängt stark von Laufzeit, Auflagen, Terminen, Fachstellen, verkehrsrechtlicher Anordnung, SiGeKo, Kampfmittel, Denkmalpflege, Freigaben und Dokumentationspflichten ab. Historische Preise nur als Orientierung verwenden. · Plausibilitätsgrenze aktiv: KI-EP 709.28 EUR liegt unter Mindestansatz 750 EUR. · RLC No-X84 Autonomous 
250;"Schutzmatte für PE DN50; DA75";lfm;1250.0;29.6;37000.0;recipe+no-x84-family-guard+no-x84-family-guard;medium;warning;STATUS_warning | NO_X84_GUARD | WARNING;"Universeller RLC-Preisresolver verwendet. Kein spezifisches Rezept gefunden; Firmenpreise und Baustellenbedingungen prüfen. · RLC No-X84 Autonomous Family Guard aktiv: Schutzmatte PE DN50 lfm V16 plausibilisiert. Keine X84-/Angebotsbasis verwendet; Position bleibt prüfpflichtig. · RLC Autonomous Guard V11: Schutzmatte/Rohrschutz vorrangig als Meterleistung kalibriert. · RLC Marktindex V15: Preisbasis 2024 auf aktuelle Kalkulation marktbedingt fortgeschrieben. · Alter EP 29.6 wurde auf 25.74 €/lf"
439;Rohrumhüllung Sand HDPE DA 50;lfm;6500.0;5.64;36660.0;rule-engine+no-x84-family-guard+no-x84-family-guard;medium;warning;STATUS_warning | NO_X84_GUARD | WARNING;"Nur Regel-Engine-Fallback verwendet · Kontextabhängige Position: Preis muss aus Projektparametern urkalkuliert werden. Datenbankpreis nur als historischer Vergleich. · RLC No-X84 Autonomous Family Guard aktiv: Rohrumhüllung Sand HDPE DA50 lfm V14 plausibilisiert. Keine X84-/Angebotsbasis verwendet; Position bleibt prüfpflichtig. · RLC Calibration Guard V8: Rohrumhüllung Sand HDPE DA50 auf realistischen Meteransatz kalibriert. · RLC Marktindex V15: Preisbasis 2024 auf aktuelle Kalkulation marktbe"
057;Auffüllmaterial;m3;1000.0;35.0;35000.0;rlc-family-fallback-forststrasse-recalculated;high;needs_review;HIGH_RISK | STATUS_needs_review | FALLBACK | WARNING;"Technische RLC-Komponentenkalkulation verwendet. Firmenpreise und Baustellenbedingungen prüfen. · RLC Technical Parser priorisiert vor Cache, Rule-Engine und OpenAI. · RLC Family-Mismatch-Guard: Firmenkalibrierung blockiert. LV-Familie ""rohrgraben"" passt nicht zur Kalibrierungsbasis ""auffuellung"". · RLC Block+Recalculate: technical-parser Ergebnis blockiert; kein belastbarer Alternativ-EP gefunden. · RLC Family-Fallback-Recalculate: Forststraße wiederherstellen: technischer Fallback 35 €/Einheit"
058;Bruchschotter für Straßenunterbau;m3;500.0;69.6;34800.0;rule-engine+no-x84-family-guard+no-x84-family-guard;medium;warning;STATUS_warning | NO_X84_GUARD | WARNING;"Nur Regel-Engine-Fallback verwendet · Kontextabhängige Position: Preis muss aus Projektparametern urkalkuliert werden. Datenbankpreis nur als historischer Vergleich. · RLC No-X84 Autonomous Family Guard aktiv: Bruchschotter Straßenunterbau m³ V15 plausibilisiert. Keine X84-/Angebotsbasis verwendet; Position bleibt prüfpflichtig. · RLC Autonomous Guard V13: Bruchschotter/Straßenunterbau als m³-Leistung plausibilisiert. · RLC Marktindex V15: Preisbasis 2024 auf aktuelle Kalkulation marktbedingt fo"
055;Zuschlag Rückverfüllung;lfm;5000.0;6.73;33650.0;technical-parser+no-x84-family-guard+no-x84-family-guard;medium;warning;STATUS_warning | NO_X84_GUARD | WARNING;"RLC No-X84 Autonomous Family Guard aktiv: Zuschlag Rückverfüllung lfm V16 plausibilisiert. Keine X84-/Angebotsbasis verwendet; Position bleibt prüfpflichtig. · RLC Calibration Guard V8: Zuschlag Rückverfüllung als Meterzuschlag kalibriert. · RLC Marktindex V15: Preisbasis 2024 auf aktuelle Kalkulation marktbedingt fortgeschrieben. · Alter EP 6.73 wurde auf 7.61 €/lfm kalibriert. · Kein X84 im aktuellen Projekt vorhanden; Wert bleibt prüfpflichtig. · RLC No-X84 Autonomous Family Guard aktiv: Zusc"
